Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
56168d82c40895e27f6a41fb9cac74ce46fdd2f5ad079a32485a2fc03c324433,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
2e08ff07106097bf0613df28b42ad7a7789818cb68f53ca5551d2931a750e45d,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
7e7d5555393da571a501f80e600f89089a545b9f95aeb4600870a1042238b065,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
7e7d5555393da571a501f80e600f89089a545b9f95aeb4600870a1042238b065,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
4334cfcb80c77eb727a7c9a09778de8f74174b5d249289e46230293838dfb2e1,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
b3248f2897969f9e3e33645581d3da7538bab952e7ce51272afb2e69a0ae1f6c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
94ed6c2c84cb91f0890daed232bb1d7dcef4570c17eaf4e763e2f73cb9458164,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
da5e96d2c9430892d313e0da236c1a58fac5f5f084b4272bc4495fd5fbc7b1a9,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
69091bd075a781f2e5cf81447ee7444ca4010c6e38447ce6f015b1c99a39c10d,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a0b3f07d68ca0933e83e7a059063ec1a2c0e828985642eb17fa4592e127be9df,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
93e9cab849abbed318d9fe4751f33bf2fbe636e6f0387f70116d235ae3656ad8,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
513a72ac259aadd83017b3eb6d1d7e6c9f11f43bf160c7137a74d13c2c2c27c5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
6d6c370a4583af21d5117ac68a4453b6c087ab169ea3339143f7b4fca3740f44,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8cd13731b16e068a8c5d57c247defad45940a6ff157f44a4827eac9bc8fb7b1f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
3a772491c62e567b6767a6c1521e1c1ddaf681632236b5d81b85e723c928cefe,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a drugs possession warning
b06b850bf479b922a76e55aeeeb31be0364bc5f071e0f39e134732b7fa1dfc7e,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
692d83cd82d7f3476dfa9244eb0d93f39c3fe7c0df91ee941bca7190ed5bf773,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a drugs possession warning
4ed711e9f35a12c275e2336fb0edfa2f4968e1e2f155de59acfe306966770f31,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d877cdd314d60858a65f08bef048df595db9464c2ba4e2c97e6c4b69fbfec1f5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
b6a88fab3a0b4138b1a6bc386114b8192a576939072b84240c35531a3599b4ec,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
0b16ea52e2b2c6e7d69d6968b6d37fe38a82153f6cf654e8689ed73937513c53,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
ac8c6f95fd6abed3e19f6b77cb44ab29a4fc790c9e2b99996ffefa974520aeef,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
35723b3a1ed41474225140a3b121c6e77fd26cfaf18072bab64648080cfcab83,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given penalty notice
504173340202833c1c6e8a5248f1d3483d440dd1346440901cc41417abb00f2c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
66719dabeecbc4ca80f609bf031dfe60ebf08929d5be38d3711f1ba6b6d4d679,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
796ee2d2189080b1ea21ee6f2eafc06b610d9c25b6e44015ac5185bbee728998,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
e3f3697b3a87501225b6ee6586ab95ea6298d31c9cd83c1f975e1841db460a2b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
bef074e7cdd4fb701470093ad42ac80512ce455f295d3bf053f2282c30635c3c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7a045528bc468c7d9b740a142fe76745269ebea6337c2ed077ed89a8ea6b3e66,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1f472945d3f1d08287bf8541330f4ac43a164c591739394dbe1668f92e9f95a5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a drugs possession warning
d50e95af86cc36543915266b60db14c08d46d1d5bfb24068fdedfe0de223b555,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ec319c46cb6234ace3d99af18a701789d4aeba64b663d53ed97f6ccd768194ac,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1dc0d804596a9bdc6478047e59a268ea5018d94e4d404b511e8dff06780cae39,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a3cf11ce2409294b4621f09cbdefa30b211664170c8087bdbe68449ead9b3983,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d6b8cd622f55864668a2e693ea6dc56411bc4d36744bf3d7b774f30607d7579c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
bee6925760dfa669a229d4b417d5974aec00400f2623aea47f62051c2ba0a7a8,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e816309da9e874d105a3803cc19ece1c19114ca4769e546a85362bdcfbecf0b5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e816309da9e874d105a3803cc19ece1c19114ca4769e546a85362bdcfbecf0b5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
df46233d1f7d905051727547f0559e9488517add7ac40b8bd8c61f94958a81dd,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5348426764f0d34eda4deab5a4b11d6465e66716434789e80c4fabd857bd185c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
a6659731db8bafe2d4b3a7683a19e166f835b2848a6640e384efb09db8e92331,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
a9e5c71f3cf0e0cb6f5ecfeeb15aa80a95a713e9838b0d75cdf4e5a1a947377f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
ed7392c650b4fcd26f6fc102177d842c71ebdc56fcff9450eb68f9007428cba4,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a9ea6d07c8b5101dd139ffddb3abe07fc5c3127d270d2db72cec577aa976f62c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
69f1ca7540c6e82bcc6265a2c30ca8f40f2975c690c94fa2dfc9a2b0ba5a69cb,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
58d53a88660d191101157142b46ea03182ccefe64cde3640a65cf02b0f6de76f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
37865f911262b11fdcbad15e6000f8c3565ddd40c9a4811899639ff14f32411e,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a72152c35b90809d0b96a4247c2e35be76e8286892227884770ee19b96b652d2,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
d1f29929eb32e48ad579f42de7cf3df1f22f0cdf5a61d1dd0af5ca7cf3a611f0,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a9e5c71f3cf0e0cb6f5ecfeeb15aa80a95a713e9838b0d75cdf4e5a1a947377f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
a5689b0cb1d49b08eedd74608da296bae525c57d2076271785b04cedf00d261d,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
