"mpg","cylinders","displacement","horsepower","weight","acceleration","model_year","origin","car_name"
180,8,3070,1300,3504,120,70,1,"chevrolet,chevelle,malibu"
150,8,3500,1650,3693,115,70,1,"buick,skylark,320"
180,8,3180,1500,3436,110,70,1,"plymouth,satellite"
160,8,3040,1500,3433,120,70,1,"amc,rebel,sst"
170,8,3020,1400,3449,105,70,1,"ford,torino"
150,8,4290,1980,4341,100,70,1,"ford,galaxie,500"
140,8,4540,2200,4354,,90,70,1,"chevrolet,impala"
140,8,4400,2150,4312,,85,70,1,"plymouth,fury,iii"
140,8,4550,2250,4425,100,70,1,"pontiac,catalina"
150,8,3900,1900,3850,,85,70,1,"amc,ambassador,dpl"
150,8,3830,1700,3563,100,70,1,"dodge,challenger,se"
140,8,3400,1600,3609,,80,70,1,"plymouth,'cuda,340"
150,8,4000,1500,3761,,95,70,1,"chevrolet,monte,carlo"
140,8,4550,2250,3086,100,70,1,"buick,estate,wagon,(sw)"
240,4,1130,9500,2372,150,70,3,"toyota,corona,mark,ii"
220,6,1980,9500,2833,155,70,1,"plymouth,duster"
180,6,1990,9700,2774,155,70,1,"amc,hornet"
210,6,2000,8500,2587,160,70,1,"ford,maverick"
270,4,9700,8800,2130,145,70,3,"datsun,pl510"
260,4,9700,4600,1835,205,70,2,"volkswagen,1131,deluxe,sedan"
250,4,1100,8700,2672,175,70,2,"peugeot,504"
240,4,1070,9000,2430,145,70,2,"audi,100,ls"
250,4,1040,9500,2375,175,70,2,"saab,99e"
260,4,1210,1130,2234,125,70,2,"bmw,2002"
210,6,1990,9000,2648,150,70,1,"amc,gremlin"
100,8,3600,2150,4615,140,70,1,"ford,f250"
100,8,3070,2000,4376,150,70,1,"chevy,c20"
110,8,3180,2100,4382,135,70,1,"dodge,d200"
90,8,3040,1930,4732,185,70,1,"hi,1200d"
270,4,9700,8800,2130,145,71,3,"datsun,pl510"
280,4,1400,9000,2264,155,71,1,"chevrolet,vega,2300"
250,4,1130,9500,2228,140,71,3,"toyota,corona"
250,4,9800,?,,2046,190,71,1,"ford,pinto"
190,6,2320,1000,2634,130,71,1,"amc,gremlin"
160,6,2250,1050,3439,155,71,1,"plymouth,satellite,custom"
170,6,2500,1000,3329,155,71,1,"chevrolet,chevelle,malibu"
190,6,2500,8800,3302,155,71,1,"ford,torino,500"
180,6,2320,1000,3288,155,71,1,"amc,matador"
140,8,3500,1650,4209,120,71,1,"chevrolet,impala"
140,8,4000,1750,4464,115,71,1,"pontiac,catalina,brougham"
140,8,3510,1530,4154,135,71,1,"ford,galaxie,500"
140,8,3180,1500,4096,130,71,1,"plymouth,fury,iii"
120,8,3830,1800,4955,115,71,1,"dodge,monaco,(sw)"
130,8,4000,1700,4746,120,71,1,"ford,country,squire,(sw)"
130,8,4000,1750,5140,120,71,1,"pontiac,safari,(sw)"
180,6,2580,1100,2962,135,71,1,"amc,hornet,sportabout,(sw)"
220,4,1400,7200,2408,190,71,1,"chevrolet,vega,(sw)"
190,6,2500,1000,3282,150,71,1,"pontiac,firebird"
180,6,2500,8800,3139,145,71,1,"ford,mustang"
230,4,1220,8600,2220,140,71,1,"mercury,capri,2000"
280,4,1160,9000,2123,140,71,2,"opel,1900"
300,4,7900,7000,2074,195,71,2,"peugeot,304"
300,4,8800,7600,2065,145,71,2,"fiat,124b"
310,4,7100,6500,1773,190,71,3,"toyota,corolla,1200"
350,4,7200,6900,1613,180,71,3,"datsun,1200"
270,4,9700,6000,1834,190,71,2,"volkswagen,model,111"
260,4,9100,7000,1955,205,71,1,"plymouth,cricket"
240,4,1130,9500,2278,155,72,3,"toyota,corona,hardtop"
250,4,9750,8000,2126,170,72,1,"dodge,colt,hardtop"
230,4,9700,5400,2254,235,72,2,"volkswagen,type,3"
200,4,1400,9000,2408,195,72,1,"chevrolet,vega"
210,4,1220,8600,2226,165,72,1,"ford,pinto,runabout"
130,8,3500,1650,4274,120,72,1,"chevrolet,impala"
140,8,4000,1750,4385,120,72,1,"pontiac,catalina"
150,8,3180,1500,4135,135,72,1,"plymouth,fury,iii"
140,8,3510,1530,4129,130,72,1,"ford,galaxie,500"
170,8,3040,1500,3672,115,72,1,"amc,ambassador,sst"
110,8,4290,2080,4633,110,72,1,"mercury,marquis"
130,8,3500,1550,4502,135,72,1,"buick,lesabre,custom"
120,8,3500,1600,4456,135,72,1,"oldsmobile,delta,88,royale"
130,8,4000,1900,4422,125,72,1,"chrysler,newport,royal"
190,3,7000,9700,2330,135,72,3,"mazda,rx2,coupe"
150,8,3040,1500,3892,125,72,1,"amc,matador,(sw)"
130,8,3070,1300,4098,140,72,1,"chevrolet,chevelle,concours,(sw)"
130,8,3020,1400,4294,160,72,1,"ford,gran,torino,(sw)"
140,8,3180,1500,4077,140,72,1,"plymouth,satellite,custom,(sw)"
180,4,1210,1120,2933,145,72,2,"volvo,145e,(sw)"
